Abby,[5Abi],n.艾比(Abigail 的昵称)(f.)
shoot,[Fu:t],"n.射击, 发射, 摄影, 急流//vt.射击, 投射, 伸出, 拍摄, 用完, 挥出, 给...注射, 使爆炸//vi.射出, 射击, 发出, 发芽, 射门, 拍电影"
show somebody around,[],领着某人参观
shower,[5FauE],"n.阵雨, 淋浴, (一)阵, (一)大批//vt.大量地给与"
shut up,[],"v.关闭, 关上...的全部门窗, 监禁, 住口, 保藏"
sigh,[sai],"n.叹息, 叹息声//vi.叹息, 叹气"
signature,[5signitFE],"n.签名, 署名, 信号"
simple-minded,[],adj.愚蠢的，头脑简单的
skyscraper,[5skaiskreipE(r)烟囱],"n.摩天楼, 高丛的烟囱"
smelly,[5smeli],"adj.发臭的, 有臭味的"
so long as,[],adv.只要
socialism,[5sEuFElizEm],"n.社会主义, 社会主义运动"
socialist,[5sEuFElist],"n.社会主义者, 社会党党员"
spring,[spriN],"n.春天, 跃起, 泉, 弹簧, 发条, 弹性, 弹力, 根源//v.跳, 跃, 跃出, 使跳跃, 使爆炸, 触发"
steep,[sti:p],"adj.陡峭的, 险峻的, 急剧升降的, 不合理的//n.悬崖, 峭壁, 浸渍, 浸渍液//v.浸, 泡, 沉浸"
step,[step],"n.脚步, 步幅, 步调, 步伐, 步骤, 措施, 梯级, 台阶//v.走, 举步, 移步, 踏//产品数据转换规范"
step-mother,[],n.继母；后母
stopwatch,[5stCpwCtF],"n.(赛跑时用的)秒表, 跑表, 停表, 马表"
stream,[stri:m],"n.溪, 川, 流, 一股, 一串, 河流//v.流, 涌, 流注"
suit,[sju:t],"v.合适, 适合, 相配, 合式, 适宜于//n.一套衣服"
suit...to,[],使适合；使适应
surround,[sE5raund],"vt.包围, 环境//v.围绕"
surrounding,[sE5raundiN],"n.围绕物, 环境//adj.周围的"
swallow,[5swClEu],"n.[鸟]燕子, 吞咽, 喉//vt.咽, 淹没, 吞没, 取消, 忍受, 轻信, 压制, 耗尽//vi.吞下, 咽下"
sweet potato,[],甘薯
take an action,[],采取行动
take one's place,[],取代...人
take possession of,[],"v.占有, 占领"
take up arms,[],v.拿起武器
tape recorder,[5teiprikC:dE(r)锹计],n.磁带录音机
tape-recording,[],n. 磁带录音
tear,[tiE],"n.破处, 破缝, 泪滴, 眼泪, 扯, 飞奔, 激怒//vi.流泪, 撕破, 猛冲, 飞奔, 被撕破//vt.扯, 撕, 撕破, 戳破, 拉掉, 折磨, 使分裂, 撕掉"
tear down,[],"v.扯下, 拆卸, 逐条驳斥, 诋毁"
telegraph,[5teligrB:f],"n.电报机, 电报//v.打电报, 发电报, 打电报说"
the moment,[],"立刻, 马上// 刚才"
the moment...,[],一…就…
thread,[Wred],"n.线, 细丝, 线索, 思路, 螺纹"
throat,[WrEut],"n.咽喉, 喉咙, 嗓音, 窄路, 口子//vt.用喉音说, 开沟于"
tip,[tip],"n.顶, 尖端, 梢, 倾斜, 轻击, 末端, 小费, 秘密消息//vt.在...顶端装附加物, 使倾斜, 使翻倒, 暗示, 轻击, 给, 泄露, 给小费//vi.倾斜, 翻倒, 倾覆, 踮脚走, 给小费//n.提示, 技巧"
to the point,[],"adv.中肯, 扼要"
tour,[tuE],"n.旅行, 游历, 旅游//v.旅行, 游历, 巡回, 漫游"
tourism,[5tuEriz(E)m],"n.观光事业, 游览"
troop,[tru:p],"n.群, 组, 多数, 军队//vi.群集, 结队, 成群而行//vt.把(骑兵)编成骑兵连"
turn away,[],"v.不准...入内, 走开, 转过脸, 解雇, 避免, 防止"
typewriter,[5taipraitE],n.打字机
undivided,[5Qndi5vaidid],"adj.未分开的, 专一的, 专心的"
unpleasant,[Qn5pleznt],"adj.使人不愉快的, 讨厌的"
unreserved,[5Qnri5zE:vd],"adj.不隐瞒的, 坦白的, 无限制的"
unrest,[5Qn5rest],"n.不安的状态, 动荡的局面"
violence,[5vaiElEns],"n.猛烈, 强烈, 暴力, 暴虐, 暴行, 强暴"
violent,[5vaiElEnt],"adj.猛烈的, 激烈的, 暴力引起的, 强暴的"
wagging,[],a.摇动的；摆动的
wartime,[5wC:taim],n.战时
wealthy,[5welWi],"adj.富有的, 丰裕的, 充分的//n.富人, 有钱人"
westerner,[],"n.美国之西部的人, 西方人"
widespread,[5waidspred; -5spred],"adj.分布广泛的, 普遍的"
will,[wil; wEl; El; l],"n.意志, 决心, 意向, 遗嘱//v.aux.将, 愿意, 必须"
willingly,[],"adv.自动地, 欣然地"
wisdom,[5wizdEm],"n.智慧, 明智的行为, 学识, 名言, 贤人, 至理名言"
woollen,[5wulin],n.毛织品//adj.羊毛制的
word processor,[],n.[计]文字处理软件
workmate,[],n. 同事，工作伙伴
youth,[ju:W],"n.青春, 青年时期, 初期, 少年, 青年们"
zone,[zEun],"n.地域, 地带, 地区, 环带, 圈//vt.环绕, 使分成地带//vi.分成区"
